	Kingdom	Phylum	SGB
uSGB_59458_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
uSGB_2071_(Bacteroidetes_phylum)	Bacteria	Bacteroidetes	uSGB
kSGB_1965_(Barnesiella_intestinihominis)	Bacteria	Bacteroidetes	kSGB
kSGB_2084_(Barnesiella_sp_WM24)	Bacteria	Bacteroidetes	kSGB
kSGB_17244_(Bifidobacterium_adolescentis)	Bacteria	Actinobacteria	kSGB
kSGB_17231_(Bifidobacterium_angulatum)	Bacteria	Actinobacteria	kSGB
kSGB_17278_(Bifidobacterium_animalis)	Bacteria	Actinobacteria	kSGB
kSGB_17256_(Bifidobacterium_bifidum)	Bacteria	Actinobacteria	kSGB
kSGB_17247_(Bifidobacterium_breve)	Bacteria	Actinobacteria	kSGB
kSGB_17241_(Bifidobacterium_catenulatum)	Bacteria	Actinobacteria	kSGB
uSGB_17245_(Bifidobacterium_genus)	Bacteria	Actinobacteria	uSGB
uSGB_60371_(Bifidobacterium_genus)	Bacteria	Actinobacteria	uSGB
uSGB_17246_(Bifidobacterium_genus)	Bacteria	Actinobacteria	uSGB
uSGB_60366_(Bifidobacterium_genus)	Bacteria	Actinobacteria	uSGB
kSGB_17248_(Bifidobacterium_longum)	Bacteria	Actinobacteria	kSGB
kSGB_17237_(Bifidobacterium_pseudocatenulatum)	Bacteria	Actinobacteria	kSGB
kSGB_17279_(Bifidobacterium_pseudolongum)	Bacteria	Actinobacteria	kSGB
kSGB_15452_(Bilophila_wadsworthia)	Bacteria	Proteobacteria	kSGB
kSGB_7263_(Bittarella_massiliensis)	Bacteria	Firmicutes	kSGB
uSGB_4780_(Blautia_genus)	Bacteria	Firmicutes	uSGB
uSGB_58534_(Blautia_genus)	Bacteria	Firmicutes	uSGB
uSGB_4815_(Blautia_genus)	Bacteria	Firmicutes	uSGB
kSGB_4862_(Blautia_hansenii)	Bacteria	Firmicutes	kSGB
kSGB_4677_(Blautia_hydrogenotrophica)	Bacteria	Firmicutes	kSGB
kSGB_4826_(Blautia_massiliensis)	Bacteria	Firmicutes	kSGB
kSGB_4811_(Blautia_obeum)	Bacteria	Firmicutes	kSGB
kSGB_4810_(Blautia_sp_AF19_10LB)	Bacteria	Firmicutes	kSGB
kSGB_4868_(Blautia_sp_AF19_34)	Bacteria	Firmicutes	kSGB
kSGB_4809_(Blautia_sp_BIOML_A1)	Bacteria	Firmicutes	kSGB
kSGB_4867_(Blautia_sp_KGMB01111)	Bacteria	Firmicutes	kSGB
kSGB_4844_(Blautia_wexlerae)	Bacteria	Firmicutes	kSGB
