MicrobiotaName	Rockeffeler1	Rockeffeler2	Rockeffeler3	Rockeffeler4	Rockeffeler5	Crick1	Crick2	Crick3	Crick4	Crick5	Greece1	Greece2	Greece3	Greece4	Greece5	DKFZ1	DKFZ2	DKFZ3	DKFZ4	DKFZ5	Gothenburg1	Gothenburg2	Gothenburg3	Gothenburg4	Gothenburg5	Geneva1	Geneva2	Geneva3	Geneva4	Geneva5	Jena1	Jena2	Jena3	Jena4	Jena5	Champalimaud1	Champalimaud2	Champalimaud3	Champalimaud4	Champalimaud5	FreiburgM3	FreiburgM4	FreiburgM5	FreiburgF3	FreiburgF4	Humanitas1	Humanitas2	Humanitas3	Humanitas4	Humanitas5	Brazil2	Brazil3	Brazil4	Brazil5	Brazil6	WildMiceM1	WildMiceM2	WildMiceM3	WildMiceM4	WildMiceM5	Bern1	Bern2	Bern3	Bern4	Bern5
g_Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083892617	0	0.080645161	0	0	0	0	0	0	0	0.078802206	0.079051383	0.078616352	0.079176564	0	0.068306011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s_Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083892617	0	0.080645161	0	0	0	0	0	0	0	0.078802206	0.079051383	0.078616352	0.079176564	0	0.068306011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Prevotella	0.046707146	0.061462815	0.048007681	0.062034739	0.054083288	0	0	0	0	0	0	0	0	0	0	0.06443299	0.065274151	0.06514658	0.064935065	0.067980965	0	0	0	0	0	0.058788948	0.058582308	0.056022409	0.056529112	0.05624297	0.061690315	0.061919505	0.063251107	0.119331742	0.118694362	0.083892617	0	0	0	0	0	0.083194676	0.082508251	0.086730269	0.067980965	0.078802206	0.079051383	0.078616352	0.079176564	0.084817642	0.136612022	0.239520958	0.208768267	0.210084034	0.204708291	0	0	0	0	0.100300903	0.096153846	0.09765625	0.096432015	0.096805421	0.098231827
s_Alistipes_communis	0	0.061462815	0	0.062034739	0	0	0	0	0	0	0	0	0	0	0	0.06443299	0.065274151	0.06514658	0.064935065	0.067980965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251677852	0.190657769	0.241935484	0.2034588	0.203665988	0.061766523	0	0	0	0	0.078802206	0.079051383	0.078616352	0.079176564	0	0	0	0	0	0	0.0999001	0.096711799	0.099601594	0	0.100300903	0.096153846	0.09765625	0.096432015	0.096805421	0.098231827
s_Alistipes_dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06443299	0.065274151	0.06514658	0.064935065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167785235	0.095328885	0.080645161	0.1017294	0.101832994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s_Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185070944	0.123839009	0.126502214	0.178997613	0.178041543	0.167785235	0.095328885	0.161290323	0.1017294	0.101832994	0	0	0	0	0	0.078802206	0	0	0	0	0	0	0	0	0	0.0999001	0	0	0	0	0	0	0	0	0
s_Alistipes_onderdonkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083892617	0.095328885	0.161290323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s_Alistipes_senegalensis	0	0.061462815	0	0.062034739	0.054083288	0	0	0	0	0	0.084459459	0.084459459	0	0.097087379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061690315	0.061919505	0.063251107	0.059665871	0.059347181	0.083892617	0.095328885	0.161290323	0	0	0.061766523	0	0	0	0	0.236406619	0.23715415	0.235849057	0.237529691	0	0.068306011	0	0.104384134	0.105042017	0.102354145	0	0	0	0.077399381	0.100300903	0.096153846	0.09765625	0.096432015	0.096805421	0.098231827
s_Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167785235	0	0.161290323	0	0	0	0	0	0	0	0.078802206	0.079051383	0.078616352	0.079176564	0	0	0	0	0	0	0.0999001	0.096711799	0.099601594	0	0	0	0	0	0	0
s_Parabacteroides_goldsteinii	0.046707146	0.061462815	0.048007681	0.062034739	0.054083288	0	0	0	0	0	0	0	0	0	0	0.451030928	0.45691906	0.456026059	0.454545455	0.339904827	0.075244545	0.076045627	0.075528701	0.105485232	0.105708245	0.352733686	0.351493849	0.504201681	0.508762012	0.562429696	0.431832202	0.371517028	0.316255534	0.656324582	0.652818991	1.090604027	0.190657769	0.322580645	0.305188199	0.305498982	0.061766523	0.166389351	0.165016502	0.173460538	0.067980965	0.157604413	0.158102767	0.157232704	0.158353127	0.169635284	0.341530055	0.239520958	0.313152401	0.31512605	0.307062436	0	0	0	0	0.501504514	0.769230769	0.78125	0.771456123	0.774443369	0.785854617
s_Parabacteroides_johnsonii	0.046707146	0.061462815	0.048007681	0.062034739	0.054083288	0	0	0	0	0	0	0	0	0	0	0.451030928	0.522193211	0.521172638	0.519480519	0.611828688	0	0	0	0	0	0	0	0	0	0	0.061690315	0	0	0.059665871	0.059347181	0.167785235	0	0.080645161	0.2034588	0.203665988	0	0	0	0	0	0	0	0	0	0	0.068306011	0	0.104384134	0.105042017	0.102354145	0	0	0	0	0	0.096153846	0.09765625	0.096432015	0.096805421	0.098231827
s_Parabacteroides_merdae	0.046707146	0.061462815	0.048007681	0.062034739	0.054083288	0	0	0	0	0	0	0	0	0	0	0.06443299	0.065274151	0.06514658	0.064935065	0.067980965	0	0	0	0	0	0.058788948	0.058582308	0.056022409	0.056529112	0.05624297	0.061690315	0.061919505	0.063251107	0.119331742	0.118694362	0.083892617	0	0.080645161	0	0	0.061766523	0.083194676	0.082508251	0.086730269	0.067980965	0	0	0	0	0.084817642	0.136612022	0	0.104384134	0.105042017	0.102354145	0	0	0	0	0.100300903	0.192307692	0.1953125	0.192864031	0.193610842	0.196463654
g_Mucispirillum	0.140121439	0.184388445	0.144023044	0.248138958	0.162249865	0	0	0	0	0	14.69594595	14.94932432	9.751037344	9.223300971	9.188660802	0	0	0	0	0	0.225733634	0.228136882	0.226586103	1.687763713	1.691331924	0.058788948	0.058582308	0.056022409	0.056529112	0.05624297	0.061690315	0	0	0.119331742	0.118694362	8.89261745	15.91992374	22.82258065	17.90437436	17.82077393	0	0	0	0	0	0.551615445	0.553359684	0.550314465	0.554235946	0.084817642	2.732240437	2.155688623	2.400835073	2.415966387	2.354145343	1.398601399	1.64410058	1.09561753	3.560371517	0.401203611	0	0	0	0	0
s_Mucispirillum_schaedleri	0.140121439	0.184388445	0.144023044	0.248138958	0.162249865	0	0	0	0	0	14.69594595	14.94932432	9.751037344	9.223300971	9.188660802	0	0	0	0	0	0.225733634	0.228136882	0.226586103	1.687763713	1.691331924	0.058788948	0.058582308	0.056022409	0.056529112	0.05624297	0.061690315	0	0	0.119331742	0.118694362	8.89261745	15.91992374	22.82258065	17.90437436	17.82077393	0	0	0	0	0	0.551615445	0.553359684	0.550314465	0.554235946	0.084817642	2.732240437	2.155688623	2.400835073	2.415966387	2.354145343	1.398601399	1.64410058	1.09561753	3.560371517	0.401203611	0	0	0	0	0
